Date,Open,High,Low,Close,Adj Close,Volume
2011-03-18,22.069857,22.219992,21.107225,21.107225,20.640207,1997061
2011-03-21,21.195539,21.195539,20.091604,20.224077,19.776598,4143
2011-03-22,21.319180,21.319180,20.312391,20.356548,19.906137,1905230
2011-03-23,20.003290,20.453695,19.720682,19.720682,19.284342,2059905
2011-03-24,19.826660,20.135763,19.446909,19.870817,19.431154,2715
2011-03-25,19.674242,20.397955,19.665306,19.995892,19.553463,2143213
2011-03-28,20.326475,20.326475,19.486612,19.584894,19.199261,1227907
2011-03-29,19.522352,19.906544,19.236441,19.745720,19.356918,930303
2011-03-30,19.522352,19.906544,19.236441,19.745720,19.356918,930303
2011-03-31,19.835068,20.478367,19.727850,19.835068,19.444508,2037222
2011-04-01,19.835068,19.835068,19.835068,19.835068,19.444508,0
2011-04-04,20.415823,20.692799,20.138847,20.460497,20.057621,687430
2011-04-05,20.460497,20.460497,20.460497,20.460497,20.057621,0
2011-04-06,20.406889,20.603453,20.406889,20.460497,20.057621,695153
2011-04-07,20.120977,20.272867,19.888676,20.103107,19.707270,474441
2011-04-08,20.254997,20.415823,19.709982,19.942284,19.549612,709032
2011-04-11,19.906544,20.272867,19.745720,19.978022,19.584646,631021
2011-04-12,19.790394,20.147781,19.709982,19.745720,19.356918,512943
2011-04-13,19.924414,19.978022,19.307919,19.388330,19.006567,592408
2011-04-14,19.397266,19.522352,19.129225,19.290049,18.910219,474889
2011-04-15,19.441938,19.441938,19.254311,19.433004,19.050362,550996
2011-04-18,19.450874,19.888676,19.209637,19.513416,19.129189,515405
2011-04-19,19.531286,19.558090,19.254311,19.415134,19.032843,322226
2011-04-20,19.638502,20.219259,19.209637,20.219259,19.821135,1641798
2011-04-25,20.228193,20.380083,19.960154,20.058435,19.663477,449370
2011-04-26,20.058435,20.210325,19.415134,19.567024,19.181742,881169
2011-04-27,19.558090,19.656372,19.218571,19.620634,19.234297,557712
2011-04-28,19.379396,19.620634,19.048813,19.388330,19.006567,559614
2011-04-29,19.245377,19.978022,19.245377,19.298985,18.918980,1401163
2011-05-02,19.477678,19.567024,18.887987,19.254311,18.875185,1160417
2011-05-03,19.120291,19.254311,18.789705,18.896921,18.524834,481828
2011-05-04,18.986269,19.433004,18.879051,19.066681,18.691250,709144
2011-05-05,18.923725,19.361526,18.861183,19.120291,18.743805,449258
2011-05-06,19.486612,20.773212,19.406200,20.639191,20.232798,1692499
2011-05-09,20.549845,20.701735,20.460497,20.701735,20.294109,1114
2011-05-10,20.701735,20.701735,20.701735,20.701735,20.294109,0
2011-05-11,20.996580,21.130600,20.371149,20.451563,20.048864,858785
2011-05-12,20.254997,21.050188,20.254997,20.996580,20.583149,499288
2011-05-13,20.907232,21.255686,20.710669,21.050188,20.635702,753241
2011-05-16,21.050188,21.050188,21.050188,21.050188,20.635702,0
2011-05-17,21.130600,21.595205,20.898298,21.577335,21.152470,513278
2011-05-18,21.586271,21.800703,20.746408,20.746408,20.337904,936011
2011-05-19,21.255686,21.523727,20.514105,20.889362,20.478043,658442
2011-05-20,20.862558,21.318230,20.576649,20.728539,20.320385,295700
2011-05-23,20.728539,20.907232,20.460497,20.746408,20.337904,337000
2011-05-24,20.746408,20.871494,20.246063,20.871494,20.460526,909374
2011-05-25,20.960840,21.014448,20.335411,20.460497,20.057621,513390
2011-05-26,20.657061,20.719604,20.058435,20.147781,19.751064,612442
2011-05-27,20.058435,20.103107,19.736786,19.781458,19.391953,622963
2011-05-30,19.593828,19.808264,19.379396,19.433004,19.050362,405944
2011-05-31,19.593828,20.004826,19.450874,19.701046,19.313124,738915
2011-06-01,19.486612,19.897610,19.030943,19.030943,18.656216,563868
2011-06-02,19.120291,19.879740,19.039877,19.388330,19.006567,669635
2011-06-03,19.325788,20.326475,19.209637,19.808264,19.418232,804390
2011-06-06,19.709982,19.986958,19.227507,19.254311,18.875185,254624
2011-06-07,19.325788,19.852936,19.325788,19.567024,19.181742,504436
2011-06-08,19.567024,19.924414,19.290049,19.477678,19.094154,299282
2011-06-09,19.531286,19.763590,19.388330,19.736786,19.348162,281710
2011-06-10,19.727850,19.727850,18.959465,19.209637,18.831392,590953
2011-06-13,19.218571,19.567024,19.200703,19.433004,19.050362,310922
2011-06-14,19.450874,19.897610,19.343657,19.504482,19.120432,350878
2011-06-15,19.236441,19.388330,18.905855,18.905855,18.533592,723694
2011-06-16,19.013073,19.013073,17.780083,18.083862,17.727783,516748
2011-06-17,18.226818,18.441252,17.958776,18.092796,17.736542,635610
2011-06-20,17.896235,18.396578,17.869429,18.137470,17.780336,316518
2011-06-21,18.182144,18.226818,17.869429,18.226818,17.867926,491118
2011-06-22,18.110666,18.539534,17.914103,18.182144,17.824131,607629
2011-06-24,18.387644,18.387644,17.646063,17.646063,17.298605,308683
2011-06-27,17.690735,17.744343,17.297607,17.467367,17.123428,644452
2011-06-28,17.440563,17.753279,17.342281,17.601389,17.254810,500071
2011-06-29,17.690735,17.690735,17.306541,17.422693,17.079634,465711
2011-06-30,17.574583,17.574583,16.922350,17.020632,16.685490,466606
2011-07-01,17.109980,17.333347,16.895546,16.895546,16.562866,492796
2011-07-04,16.975958,16.984894,16.618568,16.663242,16.335136,222055
2011-07-05,16.547092,16.707916,16.082485,16.082485,15.765815,768239
2011-07-06,16.082485,16.082485,15.626816,15.635751,15.327877,545624
2011-07-07,15.734033,15.894857,15.233689,15.233689,14.933732,595877
2011-07-08,15.296232,15.296232,14.697606,14.903104,14.609655,584573
2011-07-11,14.599324,14.679736,14.233000,14.393825,14.110405,527045
2011-07-12,14.304478,14.822692,14.215131,14.384891,14.101646,502981
2011-07-13,14.393825,14.652932,14.259805,14.429564,14.145441,310362
2011-07-14,14.429564,14.483172,13.607570,13.714787,13.444737,781446
2011-07-15,13.714787,13.884547,13.455680,13.455680,13.190732,846249
2011-07-18,13.330594,13.402072,13.062553,13.285921,13.024316,920454
2011-07-19,13.268051,13.482484,13.116161,13.482484,13.217009,563084
2011-07-20,13.580766,13.580766,13.187639,13.303790,13.041833,455414
2011-07-21,13.428876,13.902416,13.303790,13.902416,13.628673,780998
2011-07-22,13.911351,14.429564,13.643309,14.429564,14.145441,707912
2011-07-25,14.340217,14.411695,14.027502,14.027502,13.751295,754
2011-07-26,13.848808,13.947090,13.223378,13.419941,13.155697,718545
2011-07-27,13.259117,13.375268,12.910663,12.955336,12.700240,696496
2011-07-28,12.901728,13.026814,12.535405,12.910663,12.656446,1076922
2011-07-29,12.723034,13.419941,12.535405,13.419941,13.155697,444
2011-08-01,13.008945,13.142965,12.642621,12.910663,12.656446,697392
2011-08-02,12.901728,13.625440,12.883859,13.303790,13.041833,1421310
